label,N,support,f1_baseline,fp_baseline
abk_Cyrl,100000,57,1.0,0
ace_Latn,47937,61,0.9666666666666667,1
acu_Latn,24513,180,0.8424437299035369,0
ada_Latn,100000,59,1.0,0
ady_Cyrl,5894,56,0.9911504424778761,1
afr_Latn,100000,60,0.9915966386554621,0
agr_Latn,32209,57,0.9911504424778761,0
aii_Syrc,24440,57,0.0,0
ajg_Latn,29217,59,0.6483516483516484,64
als_Latn,100000,59,1.0,0
alt_Cyrl,84843,51,0.9807692307692307,2
ame_Latn,34032,59,0.9914529914529915,0
amh_Ethi,100000,51,0.8409090909090908,0
ami_Latn,87543,58,0.09836065573770492,0
amr_Latn,23701,61,0.9917355371900827,0
arb_Arab,100000,58,0.8737864077669902,0
arl_Latn,24447,60,1.0,0
arn_Latn,100000,58,0.9056603773584906,0
ast_Latn,100000,58,0.9913043478260869,0
auc_Latn,17817,154,0.012903225806451613,0
ayr_Latn,100000,59,0.9508196721311476,5
azj_Cyrl,26412,56,0.9909909909909909,0
azj_Latn,100000,58,0.9914529914529915,1
bam_Latn,18697,57,0.5180722891566265,66
ban_Latn,41792,60,1.0,0
bba_Latn,84918,58,0.9827586206896551,1
bci_Latn,100000,58,1.0,0
bcl_Latn,100000,59,0.9833333333333333,2
bel_Cyrl,100000,58,1.0,0
bem_Latn,100000,57,0.9824561403508771,1
ben_Beng,100000,58,1.0,0
bho_Deva,55844,56,0.8431372549019608,3
bin_Latn,100000,47,0.9438202247191011,0
bis_Latn,100000,59,1.0,0
boa_Latn,17164,61,1.0,0
bod_Tibt,45476,60,1.0,0
bre_Latn,33378,59,0.9914529914529915,0
bug_Latn,14761,60,0.9836065573770492,2
bul_Cyrl,100000,58,1.0,0
bum_Latn,100000,58,0.26865671641791045,0
cab_Latn,100000,60,1.0,0
cak_Latn,100000,57,1.0,0
cat_Latn,100000,58,0.9914529914529915,1
cbi_Latn,10976,62,0.976,2
cbr_Latn,24284,60,0.9915966386554621,0
cbs_Latn,27312,43,1.0,0
cbt_Latn,10883,57,0.9824561403508771,1
cbu_Latn,16983,57,0.8247422680412371,0
ceb_Latn,100000,59,0.9914529914529915,0
ces_Latn,100000,58,1.0,0
cfm_Latn,80737,57,0.9259259259259259,1
cha_Latn,19311,57,0.8247422680412371,0
chj_Latn,4286,59,0.0,0
chk_Latn,100000,58,1.0,0
chr_Cher,11732,115,1.0,0
chv_Cyrl,47817,25,1.0,0
cjk_Latn,100000,114,0.9683257918552036,0
cjs_Cyrl,1320,59,0.9272727272727274,0
cmn_Hani,100000,363,0.9712722298221614,13
cnh_Latn,100000,58,0.9344262295081966,7
cni_Latn,32688,52,0.707482993197279,43
cof_Latn,16915,59,0.9272727272727274,0
cos_Latn,9423,59,0.9672131147540983,4
cot_Latn,17733,60,1.0,0
cpu_Latn,17825,60,0.4810126582278481,0
crh_Latn,17238,59,0.9915966386554621,1
cri_Latn,2059,58,0.6966292134831461,0
crs_Latn,100000,58,1.0,0
csw_Cans,124,43,0.0,0
ctd_Latn,66425,60,0.6363636363636364,0
cym_Latn,100000,60,1.0,0
dag_Latn,11906,57,0.9333333333333333,7
dan_Latn,100000,61,0.9917355371900827,0
ddn_Latn,6765,58,0.06666666666666667,0
deu_Latn,100000,67,1.0,0
dga_Latn,17138,59,0.9747899159663865,2
dip_Latn,6750,57,0.0,0
div_Thaa,33933,57,1.0,0
dje_Latn,6801,54,0.9245283018867925,3
dyo_Latn,14804,55,1.0,0
dyu_Latn,100000,58,0.0,16
dzo_Tibt,13407,59,1.0,0
ekk_Latn,100000,60,1.0,0
ell_Grek,100000,116,0.6589595375722543,0
eng_Latn,100000,58,0.9747899159663865,3
epo_Latn,100000,58,0.9914529914529915,1
ese_Latn,24273,35,0.9855072463768115,0
eus_Latn,100000,59,0.9830508474576272,1
eve_Cyrl,1953,49,0.7901234567901235,0
ewe_Latn,100000,59,1.0,0
fao_Latn,94618,57,1.0,0
fat_Latn,39870,57,0.9913043478260869,1
fij_Latn,100000,59,1.0,0
fin_Latn,100000,61,0.9752066115702478,1
fkv_Latn,1884,58,0.28169014084507044,3
fon_Latn,100000,58,0.9747899159663865,3
fra_Latn,100000,58,0.9666666666666666,4
fry_Latn,100000,58,1.0,0
fuf_Latn,21670,58,0.0,5
fur_Latn,46173,59,0.9516129032258065,6
fuv_Latn,30578,108,0.7085714285714286,5
gaa_Latn,100000,59,1.0,0
gag_Latn,14325,59,0.9557522123893806,0
gaz_Latn,100000,60,1.0,0
gej_Latn,6763,58,0.0,0
gjn_Latn,30192,60,0.9833333333333333,1
gla_Latn,100000,62,0.9666666666666666,0
gle_Latn,100000,56,0.9824561403508771,2
glg_Latn,100000,58,0.9743589743589743,2
glv_Latn,60970,58,1.0,0
gsw_Latn,93517,59,0.9830508474576272,1
guc_Latn,100000,58,1.0,0
gug_Latn,100000,49,1.0,0
guj_Gujr,100000,58,1.0,0
guu_Latn,6743,58,0.0,0
gyr_Latn,46436,49,1.0,0
hak_Hani,29565,57,0.06666666666666667,1
hat_Latn,100000,117,0.9469387755102041,12
hau_Latn,100000,155,1.0,0
haw_Latn,6448,58,0.9734513274336283,0
heb_Hebr,100000,58,1.0,0
hil_Latn,100000,58,0.9914529914529915,1
hin_Deva,100000,60,0.944,6
hlt_Latn,6729,55,0.865979381443299,0
hnj_Latn,61097,58,0.0,0
hns_Latn,19168,59,0.8653846153846153,0
hsb_Latn,28261,59,0.9914529914529915,0
hun_Latn,100000,59,1.0,0
hus_Latn,57511,175,0.9795918367346939,0
huu_Latn,24119,58,1.0,0
hye_Armn,100000,71,0.9710144927536231,0
ibo_Latn,100000,58,1.0,0
ido_Latn,33665,55,0.9814814814814815,0
idu_Latn,59832,51,0.891304347826087,0
ike_Cans,30725,44,1.0,0
ilo_Latn,100000,58,1.0,0
ina_Latn,56283,58,1.0,0
ind_Latn,100000,60,0.8807339449541285,1
isl_Latn,100000,58,1.0,0
ita_Latn,100000,58,1.0,0
jav_Java,6597,62,1.0,0
jav_Latn,100000,60,0.9752066115702478,2
jiv_Latn,17510,60,0.7612903225806452,36
jpn_Jpan,100000,143,1.0,0
kaa_Cyrl,38209,58,1.0,0
kab_Latn,100000,58,1.0,0
kal_Latn,100000,58,0.9913043478260869,0
kan_Knda,100000,58,1.0,0
kat_Geor,100000,58,1.0,0
kaz_Cyrl,100000,58,1.0,0
kbd_Cyrl,46268,55,0.9908256880733944,0
kbp_Latn,100000,59,0.9508196721311476,5
kbr_Latn,12888,59,1.0,0
kde_Latn,26927,51,0.9803921568627451,1
kdh_Latn,1820,59,0.943089430894309,6
kea_Latn,100000,58,0.45751633986928103,60
kek_Latn,100000,57,1.0,0
kha_Latn,34095,58,1.0,0
khk_Cyrl,100000,57,1.0,0
khm_Khmr,100000,59,1.0,0
kin_Latn,100000,59,0.9473684210526316,1
kir_Cyrl,100000,58,1.0,0
kjh_Cyrl,39529,57,0.9579831932773109,5
kmb_Latn,100000,116,0.9824561403508771,0
kmr_Latn,100000,58,0.9824561403508771,0
knc_Latn,9356,64,1.0,0
kng_Latn,100000,115,0.31390134529147984,73
koi_Cyrl,13537,57,0.9821428571428572,0
koo_Latn,100000,54,0.9906542056074767,0
kor_Hang,100000,58,1.0,0
kqn_Latn,100000,59,0.9586776859504132,4
kqs_Latn,11046,58,0.7835051546391754,1
kri_Latn,100000,58,1.0,0
krl_Latn,9341,183,0.0,0
